"","X","NAME","YEAR","TEAM","TIME","DATE","MEETNAME","COURSE","MEETNAME_CORR","Score"
"1",52,"Wilkinson, Matthew","JR-3","Carleton","24:56.8","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  ","NCAA_Division_III_Central_Region_Cross_Country_Championships","101"
"2",53,"Mueller, Lucas","JR-3","Carleton","25:38.7","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  ","NCAA_Division_III_Central_Region_Cross_Country_Championships","101"
"3",54,"Meikle, Cameron","SR-4","Carleton","25:42.5","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  ","NCAA_Division_III_Central_Region_Cross_Country_Championships","101"
"4",55,"Bowman, Henry","FR-1","Carleton","26:11.4","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  ","NCAA_Division_III_Central_Region_Cross_Country_Championships","101"
"5",56,"Lavey, Stephen","SO-2","Carleton","26:18.0","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  ","NCAA_Division_III_Central_Region_Cross_Country_Championships","101"
"6",57,"Santos, Ben","SO-2","Carleton","26:19.7","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  ","NCAA_Division_III_Central_Region_Cross_Country_Championships","101"
"7",58,"Sather, Zak","FR-1","Carleton","26:29.5","November 16, 2019
","NCAA Division III Central Region Cross Country Championships","
Wartburg College
Waverly, IA 50677
  ","NCAA_Division_III_Central_Region_Cross_Country_Championships","101"
"8",59,"Sather, Zak","FR-1","Carleton","27:40.0","November  07, 2019
","The Great Karhu Shoe Run","
St. Olaf Arb.
Northfield, MN 55057
  ","The_Great_Karhu_Shoe_Run","148"
"9",75,"Wilkinson, Matthew","JR-3","Carleton","24:37.4","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  ","MIAC_Conference_Championships","71"
"10",76,"Mueller, Lucas","JR-3","Carleton","24:59.0","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  ","MIAC_Conference_Championships","71"
"11",77,"Meikle, Cameron","SR-4","Carleton","25:19.7","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  ","MIAC_Conference_Championships","71"
"12",78,"Lavey, Stephen","SO-2","Carleton","26:04.8","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  ","MIAC_Conference_Championships","71"
"13",79,"Santos, Ben","SO-2","Carleton","26:07.5","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  ","MIAC_Conference_Championships","71"
"14",80,"Sather, Zak","FR-1","Carleton","26:11.1","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  ","MIAC_Conference_Championships","71"
"15",81,"Bowman, Henry","FR-1","Carleton","26:18.1","November  2, 2019
","MIAC Conference Championships","
Carleton College
Northfield, MN 55057
  ","MIAC_Conference_Championships","71"
"16",101,"Wilkinson, Matthew","JR-3","Carleton","24:21.4","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  ","Connecticut_College_XC_Invitational","69"
"17",102,"Meikle, Cameron","SR-4","Carleton","25:31.5","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  ","Connecticut_College_XC_Invitational","69"
"18",103,"Bowman, Henry","FR-1","Carleton","25:49.7","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  ","Connecticut_College_XC_Invitational","69"
"19",104,"Santos, Ben","SO-2","Carleton","25:54.5","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  ","Connecticut_College_XC_Invitational","69"
"20",105,"Mueller, Lucas","JR-3","Carleton","25:56.8","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  ","Connecticut_College_XC_Invitational","69"
"21",107,"Lavey, Stephen","SO-2","Carleton","26:13.3","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  ","Connecticut_College_XC_Invitational","69"
"22",108,"Sather, Zak","FR-1","Carleton","26:19.7","October 19, 2019
","Connecticut College XC Invitational","
Harkness Memorial State Park
Waterford, CT 6385
  ","Connecticut_College_XC_Invitational","69"
"23",113,"Wilkinson, Matthew","JR-3","Carleton","24:58.3","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  ","Blugold_Invitational","64"
"24",114,"Santos, Ben","SO-2","Carleton","25:30.3","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  ","Blugold_Invitational","64"
"25",115,"Lavey, Stephen","SO-2","Carleton","25:35.2","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  ","Blugold_Invitational","64"
"26",116,"Bowman, Henry","FR-1","Carleton","25:56.4","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  ","Blugold_Invitational","64"
"27",118,"Sather, Zak","FR-1","Carleton","26:12.2","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  ","Blugold_Invitational","64"
"28",121,"Mueller, Lucas","JR-3","Carleton","26:49.0","October  4, 2019
","Blugold Invitational","
Whitetail Golf Course
Colfax, WI 54702
  ","Blugold_Invitational","64"
"29",137,"Wilkinson, Matthew","JR-3","Carleton","25:24.7","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  ","Running_of_the_Cows","132"
"30",138,"Bowman, Henry","FR-1","Carleton","26:41.5","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  ","Running_of_the_Cows","132"
"31",140,"Santos, Ben","SO-2","Carleton","27:02.4","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  ","Running_of_the_Cows","132"
"32",141,"Meikle, Cameron","SR-4","Carleton","27:09.9","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  ","Running_of_the_Cows","132"
"33",144,"Sather, Zak","FR-1","Carleton","27:59.6","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  ","Running_of_the_Cows","132"
"34",147,"Lavey, Stephen","SO-2","Carleton","28:19.8","September 21, 2019
","Running of the Cows","
Carleton College
Northfield, MN 55057
  ","Running_of_the_Cows","132"
"35",166,"Steinberg, Stevie","JR-3","Claremont-Mudd-Scripps","25:16.8","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  ","NCAA_Division_III_West_Region_Cross_Country_Championships","102"
"36",167,"van Schendel, Kyril","SO-2","Claremont-Mudd-Scripps","25:17.8","November 16, 2019
","NCAA Division III West Region Cross Country Championships","
Hosted By Pomona-Pitzer Colleges
Blanchard Park Wash
Clairmont, CA 93021
  ","NCAA_Division_III_West_Region_Cross_Country_Championships","102"
