"","NAME","YEAR","TEAM","TIME","COURSE"
"1","Patel, Dhruvil","SR-4","North Central (Ill.)","24:24.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"2","Baldonado, Al","SR-4","North Central (Ill.)","24:29.7","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"3","Reischling, Andy","SR-4","Pomona-Pitzer","24:32.9","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"4","Schraeder, Josh","JR-3","Wis.-La Crosse","24:34.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"5","McVey, Ian","SR-4","Ohio Northern","24:37.1","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"6","Cox, Ryan","JR-3","Williams","24:37.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"7","Hodkinson, Brad","SR-4","Washington U.","24:39.1","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"8","Buechner, Chris","SR-4","North Central (Ill.)","24:41.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"9","Lee, Zach","SR-4","Wis.-Platteville","24:42.4","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"10","Matteucci, Nick","JR-3","Washington U.","24:43.9","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"11","Osmulski, Matt","JR-3","North Central (Ill.)","24:44.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"12","Pangallozzi, Jared","SO-2","Johns Hopkins","24:44.7","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"13","Moyer, Harley","SR-4","Washington & Jefferson","24:44.8","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"14","Schultz, Thomas","SR-4","Wis.-La Crosse","24:45.4","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"15","Watson, Patrick","JR-3","Stevenson","24:48.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"16","Peet, Graham","SR-4","Haverford","24:49.3","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"17","Mueller, Lucas","SO-2","Carleton","24:49.7","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"18","Morgan, Greg","SR-4","Haverford","24:50.1","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"19","Vasquez, Andy","JR-3","Nebraska Wesleyan","24:51.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"20","Cutter, Ryan","SO-2","U. of Chicago","24:51.4","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"21","Fassbender, David","SO-2","Wis.-Whitewater","24:52.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"22","Klokow, Zach","JR-3","Wis.-Platteville","24:52.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"23","O'Connor, Grant","SR-4","RPI","24:52.9","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"24","McAneny, Sean","JR-3","SUNY Geneseo","24:52.9","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"25","Ricciardelli, Clark","JR-3","Amherst","24:53.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"26","Mason, Scott","SR-4","Connecticut College","24:53.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"27","Pinkowski, Sam","SO-2","Wartburg","24:53.6","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"28","Jones, James","JR-3","Bates","24:53.8","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"29","Herlihy, Ryan","SR-4","Haverford","24:54.3","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"30","Nault, Tyler","JR-3","Wis.-La Crosse","24:54.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"31","Johnsrud, Peter","SR-4","Washington U.","24:54.9","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"32","Janusiak, Josh","SR-4","Lawrence","24:55.3","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"33","Hird, Zach","SR-4","North Central (Ill.)","24:55.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"34","Smith, Addison","JR-3","Calvin","24:56.3","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"35","Aschale, Danny","JR-3","Connecticut College","24:56.4","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"36","Wicker, Mason","SR-4","Cornell College","24:56.8","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"37","Freyaldenhoven, Toler","JR-3","Rhodes","24:58.0","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"38","Wilkinson, Matthew","SO-2","Carleton","24:58.9","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"39","MacDonald, Sean","SR-4","Bowdoin","24:59.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"40","Treacy, Patrick","SR-4","Wis.-Eau Claire","24:59.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"41","Freiburger, Joe","SO-2","Wartburg","25:01.0","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"42","Ryan, Aidan","SO-2","Williams","25:01.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"43","Hinz, Sam","SR-4","Wis.-La Crosse","25:02.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"44","O'gara, David","SR-4","Washington U.","25:02.8","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"45","Christian, Paul","SR-4","DePauw","25:03.4","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"46","Hampton, Chase","JR-3","Otterbein","25:04.2","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"47","Carlson, Keith","SR-4","Willamette","25:04.6","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"48","O'Connor, Sean","SR-4","RPI","25:04.8","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"49","Phinney, Hunter","SR-4","Rochester","25:05.3","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"50","Hannan, Chris","SR-4","Oneonta","25:06.4","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"51","Brossy, Cosmo","SR-4","Amherst","25:07.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"52","Myers, Henry","FR-1","U. of Chicago","25:08.7","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"53","McKenzie, Logan","JR-3","Berea","25:09.0","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"54","Gibson, Jeff","JR-3","Mary Washington","25:09.3","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"55","Appleton, Caleb","JR-3","Wartburg","25:12.5","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"56","Stover, Joe","SO-2","Washington U.","25:12.8","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"57","Ward, Hugo","SO-2","Pomona-Pitzer","25:17.7","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"58","Batt, Zach","SR-4","DePauw","25:18.1","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
"59","Hiegel, Robert","SR-4","Bridgewater (Va.)","25:18.3","
Lake Breeze Golf Club
Winneconne, WI 54902
  "
