"","NAME","YEAR","TEAM","TIME"
"1","Falasco, Noah","SR-4","RPI","25:13.3"
"2","McAneny, Sean","SR-4","SUNY Geneseo","25:14.1"
"3","Holtzman, Luke","SR-4","SUNY Geneseo","25:19.6"
"4","Sayre, Matthew","JR-3","SUNY Geneseo","25:19.8"
"5","Domanico, Joe","SR-4","RPI","25:20.8"
"6","Sutton, Lucas","SR-4","SUNY Geneseo","25:27.4"
"7","Jaques, Henry","JR-3","RPI","25:27.9"
"8","McDonald, Ethan","SR-4","Oneonta","25:29.4"
"9","Abrams, Robert","JR-3","TCNJ","25:30.3"
"10","Ogetii, Dadley","SR-4","St. Lawrence","25:33.1"
"11","Dellabough, Blake","SR-4","Oneonta","25:36.8"
"12","Page, Evan","SR-4","St. Lawrence","25:37.5"
"13","Kuehn, Sean","SR-4","Brockport St.","25:40.4"
"14","Singer, Chris","JR-3","Ithaca","25:40.9"
"15","Ruggles, Ezra","FR-1","SUNY Geneseo","25:41.7"
"16","Whitworth, Matt","SR-4","New Paltz St.","25:42.9"
"17","Eissa, Hassan","JR-3","RIT","25:44.7"
"18","Kloman, Jake","SR-4","RPI","25:45.2"
"19","Jagoe, Danny","SO-2","Ithaca","25:47.8"
"20","Farnham, Bradley","JR-3","SUNY Geneseo","25:48.3"
"21","Grossman, Riley","SO-2","SUNY Geneseo","25:49.6"
"22","Montgomery, Jeff","SR-4","Ithaca","25:54.2"
"23","Andersen, Chris","SO-2","Ramapo","25:56.4"
"24","Mortensen, Patrick","SR-4","St. Lawrence","25:57.2"
"25","Rodriguez, Jason","JR-3","Ramapo","25:59.0"
"26","Capobianco, Johnny","SR-4","RPI","25:59.8"
"27","Vielhauer, Nicholas","SR-4","St. Lawrence","26:00.3"
"28","Spector, Dillan","JR-3","NYU","26:00.9"
"29","Napora, Danny","SR-4","RPI","26:01.7"
"30","Harvey, Cyril","SO-2","Rowan","26:02.0"
"31","Dolan, Reed","JR-3","Vassar","26:02.9"
"32","McCandless, Cabel","SR-4","Cortland St.","26:03.1"
"33","Van Riper, Conor","SO-2","New Paltz St.","26:03.7"
"34","Craw, Jared","SO-2","SUNY Cobleskill","26:04.6"
"35","Beaudry, Benjamin","JR-3","RIT","26:05.0"
"36","Davis, Jacob","JR-3","RPI","26:06.1"
"37","Fiumefreddo, Steven","SO-2","Ramapo","26:06.3"
"38","Sussman, Johnathan","JR-3","NYU","26:10.7"
"39","Wilson, Jack","SR-4","New Paltz St.","26:11.4"
"40","Hofer, Alec","JR-3","Ithaca","26:12.0"
"41","Frantz, Ivan","SR-4","Rochester","26:12.1"
"42","Stewart, Forest","SR-4","Ithaca","26:13.5"
"43","Connelly, Gerard","SR-4","Brockport St.","26:14.2"
"44","Palmer, Matt","SR-4","Oneonta","26:15.1"
"45","VanDemortel, Dillon","SO-2","SUNY Cobleskill","26:16.2"
"46","Wright, Lucas","JR-3","Hamilton","26:17.3"
"47","Caruso, Jake","SR-4","Rowan","26:17.5"
"48","Kole, Matt","JR-3","TCNJ","26:17.8"
"49","Bush, Evan","SR-4","TCNJ","26:18.8"
"50","Ryan, Sean","SR-4","Oneonta","26:19.9"
"51","Cronin, Kevin","SO-2","Clarkson","26:20.5"
"52","Robinson, Ryley","SR-4","Rochester","26:20.8"
"53","Martin, Brandon","FR-1","Oneonta","26:22.2"
"54","Lauer, Kevin","SO-2","Rowan","26:22.3"
"55","Lawson, Nathan","FR-1","Rochester","26:23.3"
"56","Ford, Andrew","SO-2","St. John Fisher","26:23.9"
