"","NAME","YEAR","TEAM","TIME","DATE","COURSE"
"1","Falasco, Noah","SR-4","RPI","25:13.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"2","McAneny, Sean","SR-4","SUNY Geneseo","25:14.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"3","Holtzman, Luke","SR-4","SUNY Geneseo","25:19.6","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"4","Sayre, Matthew","JR-3","SUNY Geneseo","25:19.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"5","Domanico, Joe","SR-4","RPI","25:20.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"6","Sutton, Lucas","SR-4","SUNY Geneseo","25:27.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"7","Jaques, Henry","JR-3","RPI","25:27.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"8","McDonald, Ethan","SR-4","Oneonta","25:29.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"9","Abrams, Robert","JR-3","TCNJ","25:30.3","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"10","Ogetii, Dadley","SR-4","St. Lawrence","25:33.1","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"11","Dellabough, Blake","SR-4","Oneonta","25:36.8","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"12","Page, Evan","SR-4","St. Lawrence","25:37.5","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"13","Kuehn, Sean","SR-4","Brockport St.","25:40.4","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"14","Singer, Chris","JR-3","Ithaca","25:40.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"15","Ruggles, Ezra","FR-1","SUNY Geneseo","25:41.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"16","Whitworth, Matt","SR-4","New Paltz St.","25:42.9","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
"17","Eissa, Hassan","JR-3","RIT","25:44.7","November 16, 2019
","
St. Lawrence University
Canton, NY 13617
  "
